video_id,title,description,published_at,tags,channel_id,channel_title,channel_subscribers,channel_video_count,view_count,like_count,comment_count,favorite_count,duration,definition,caption,licensed_content,privacy_status,embeddable,public_stats_viewable,thumbnail_default,thumbnail_medium,thumbnail_high,topic_categories,category_id,live_broadcast_content,default_language,default_audio_language
v9muEuZEgII,【National food 】Which country’s food is this?🫘🥚🥬,"Welcome to the energetic and funny ISSEI Channel!!
Please subscribe if you like this videos, and hit the Like button and Share!
Stay tuned for more amazing contents! 

- Smile and Love from Japan -

#shorts #issei #issei0806 #friends #food #meme #reaction #viral #trending #entertaining",2025-05-06T11:01:29Z,,UC6QZ_ss3i_8qLV_RczPZBkw,ISSEI / いっせい,60400000,3610,62260199,1894885,2819,0,PT40S,hd,false,True,public,True,True,https://i.ytimg.com/vi/v9muEuZEgII/default.jpg,https://i.ytimg.com/vi/v9muEuZEgII/mqdefault.jpg,https://i.ytimg.com/vi/v9muEuZEgII/hqdefault.jpg,"https://en.wikipedia.org/wiki/Food, https://en.wikipedia.org/wiki/Lifestyle_(sociology)",24,none,en,en
eRS8kTdJqMw,Em ngủ rồi😵‍💫#xuhuong #freefire,,2025-05-05T08:31:21Z,,UCsYABc3KrwbYb3GHOqJ6wPA,White Toxic,1640000,450,3632744,71335,608,0,PT1M1S,hd,false,True,public,True,True,https://i.ytimg.com/vi/eRS8kTdJqMw/default.jpg,https://i.ytimg.com/vi/eRS8kTdJqMw/mqdefault.jpg,https://i.ytimg.com/vi/eRS8kTdJqMw/hqdefault.jpg,https://en.wikipedia.org/wiki/Video_game_culture,20,none,,
B9kb9hbh77g,ИТАЛЬЯНСКИЕ МЕМЫ ВЕЗДЕ😱КВИНКА В ШОКЕ😳 #роблокс #игры #смешное #квинка,,2025-05-03T09:34:16Z,,UC6HKWohA11bBbyob7ieP-0g,i_roblox_queen,9480000,767,60042212,817537,3602,0,PT15S,hd,false,True,public,True,True,https://i.ytimg.com/vi/B9kb9hbh77g/default.jpg,https://i.ytimg.com/vi/B9kb9hbh77g/mqdefault.jpg,https://i.ytimg.com/vi/B9kb9hbh77g/hqdefault.jpg,https://en.wikipedia.org/wiki/Entertainment,20,none,,
4tZ1gH3F3y8,ИТАЛЬЯНСКИЕ МЕМЫ В МАГАЗИНЕ😱КВИНКА В ШОКЕ🫢 #роблокс #игры #смешное #квинка,,2025-05-06T15:26:37Z,,UC6HKWohA11bBbyob7ieP-0g,i_roblox_queen,9480000,767,26787871,272222,979,0,PT15S,hd,false,True,public,True,True,https://i.ytimg.com/vi/4tZ1gH3F3y8/default.jpg,https://i.ytimg.com/vi/4tZ1gH3F3y8/mqdefault.jpg,https://i.ytimg.com/vi/4tZ1gH3F3y8/hqdefault.jpg,https://en.wikipedia.org/wiki/Video_game_culture,20,none,,
39NUkctG3Gc,Vũ trụ brainrot đi tách kẹo #brainrot #2catv #squidgame,"Vũ trụ brainrot đi tách kẹo #brainrot #2catv 
📩 Quảng Cáo Liên Hệ: anh2cavn@gmail.com
Zalo: 0522696326
Facebook: https://www.facebook.com/le.trung.hieu.821332/
#xuhuong #freefire #2catv #bloxfruits",2025-04-29T10:00:05Z,"2ca, 2 cá, youtuber, minecraft, sinh tồn, 2 cá mc, roblox, blox fruit, blox fruit hài, blox fruit bựa, hài hước, funny, 2 cá tv, 2 ca tv, vlog, thử thách, Vũ trụ brainrot đi tách kẹo #brainrot #2catv, brainrot, Vũ trụ brainrot đi tách kẹo #brainrot #2catv #squidgame, squid game",UCm2-487VVek7Z1ospIl1riQ,2Cá TV,1480000,784,5937176,66996,144,0,PT18S,hd,false,True,public,True,True,https://i.ytimg.com/vi/39NUkctG3Gc/default.jpg,https://i.ytimg.com/vi/39NUkctG3Gc/mqdefault.jpg,https://i.ytimg.com/vi/39NUkctG3Gc/hqdefault.jpg,https://en.wikipedia.org/wiki/Entertainment,24,none,vi,vi
Gbpf5uAzctI,ИТАЛЬЯНСКИЕ МЕМЫ В МАГАЗИНЕ😱КВИНКА И САШКА В ШОКЕ🫢#роблокс #игры #смешное #квинка,,2025-05-02T11:55:12Z,,UC6HKWohA11bBbyob7ieP-0g,i_roblox_queen,9480000,767,45512852,593643,1845,0,PT14S,hd,false,True,public,True,True,https://i.ytimg.com/vi/Gbpf5uAzctI/default.jpg,https://i.ytimg.com/vi/Gbpf5uAzctI/mqdefault.jpg,https://i.ytimg.com/vi/Gbpf5uAzctI/hqdefault.jpg,https://en.wikipedia.org/wiki/Entertainment,20,none,,
ppQ-UJuIxzg,Khi tôi lấy thứ quan trọng đã giấu kỹ từ lâu và phản ứng của bà #doduyhieu  #shorts,"✔ xin chào, Đỗ Duy Hiếu đâyyyyyy 
-------------------------------------------
➥ Đăng ký kênh Đỗ Duy Hiếu để xem nhiều video mới tại: https://bit.ly/3KtyTsd
---------------------------------------

Theo dõi Đỗ Duy Hiếu trên :

► Facebook: https://www.facebook.com/doduyhieu2004/
► Fanpage: https://www.facebook.com/duyhieu04
► Tik Tok: https://www.tiktok.com/@dohieu_04

-LIÊN HỆ HƠP TÁC QUẢNG CÁO QUA :
Gmail: doduyhieuofficial@gmail.com

✪  #shorts #tiktok #doduyhieu #trend #tiktokvietnam  #metub 
---------------------/---------------------
© Bản quyền thuộc về Đỗ Duy Hiếu
© Copyright by Đỗ Duy Hiếu  ☞ Do not Reup
---------------------/---------------------
📣 Video chỉ mang tính chất giải trí nha mọi người 
📣 Nếu có vấn đề về bản quyền Âm nhạc,Hình ảnh…Mong bên chủ sở hữu liên hệ để chúng ta giải quyết qua email: doduyhieuofficial@gmail.com
Xin cảm ơn rất nhiều !!
---------------------/---------------------
đỗ duy hiếu,do duy hieu,do duy hieu tiktok,đỗ duy hiếu tiktok,funny,đỗ duy hiếu official,tiktok,best of tiktok,tik tok,tiktok songs 2023,tik tok video,tiktok viet nam,tik tok việt nam,hot tiktok,trào lưu tiktok,trao luu tik tok,tong hop tiktok,tiktok hài,hài tiktok,tiktok hài hước,tiktok giải trí,phim hài tiktok,hài ngắn tiktok,tiktok funny,khi tôi nhây với bà và cái kết,cháu nhây với bà,khi bà có đứa cháu quá nhây,cháu nhây với bà và cái kết,khi nhà có hảo bà và cái kết",2025-05-07T12:27:28Z,"Tiktok, Tiktok việt nam, Tiktok hot, Tiktoker, Đỗ Duy Hiếu, Duyhieutiktok, doduyhieu, đỗ duy hiếu, Bà cháu duy hiếu, Troll, Vlogs, Funny, Tổng hợp tiktok hay nhất, Trend, Xu hướng, Hài ngắn, Hài ngắn tiktok, Hài, Khi nhà có hảo cháu và cái kết, Khi hảo cháu gặp ngay hảo bà và cái kết, Cháu nhây bà",UCbzSOAh0ywEc7UDqLclGSxw,Đỗ Duy Hiếu,1330000,193,1763943,20416,47,0,PT48S,hd,false,True,public,True,True,https://i.ytimg.com/vi/ppQ-UJuIxzg/default.jpg,https://i.ytimg.com/vi/ppQ-UJuIxzg/mqdefault.jpg,https://i.ytimg.com/vi/ppQ-UJuIxzg/hqdefault.jpg,"https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Humour",24,none,vi,vi
mxpE0IXF-Vo,DỄ LỪA CHỊ LẮM #haibadane #shorts,"Hai bà dà chào cả nhàaaaa 👵👵
Cả nhà nhớ nhấn nút Đăng ký 👍 và bật Chuông thông báo 🔔 để không bỏ lỡ bất kỳ video mới nào của hai bà nha

✨ Hai bà dà nè ✨
https://youtube.com/channel/UCiLrRPwHWjfHljbV7r-77Ag?sub_confirmation=1

#shorts #haibadane #haibagiane #tiktok #tiktokfunny #tiktoktrieuview #tiktoktrend #Metubnetwork #Metub

✿ Follow Hai bà dà nè tại tiktok nhaaaa: https://www.tiktok.com/@haibadane

Coi thêm danh sách phát cả ngày dui dẻ khôm quạo nèee
⚡ HAI BÀ DÀ NÈ: https://www.youtube.com/playlist?list=PLbRTubmB79Z6TFcjGyS10G5d6IkK4xch0
⚡ TỔNG HỢP NÈ: https://www.youtube.com/playlist?list=PLbRTubmB79Z6aQMSWflnwzsPEqJSmBfr7
⚡ NGHE NHẠC NÈ: https://www.youtube.com/playlist?list=PLbRTubmB79Z6ND7hrdaQKXh7IC6OprnE-

© Bản quyền thuộc về Hai bà dà nè ☞ Vui lòng không đăng tải lại dưới mọi hình thức!
© Copyright by Hai bà dà nè ☞ Do not Reup!",2025-05-06T03:00:56Z,"hai bà dà nè, hai bà già nè, hai ba da ne, tiktok genz, tiktok hai bà già, tiktok hai bà dà, hai bà dà tiktok, tiktok hài hước, tiktok hài việt nam, hai bà già cháy phố, haibadane, tiktok trend, hai bà già nè khi có bồ, hai bà già nè cái nết ăn, hai bà già nè đám cưới, phim hai bà già nè, hài ngắn tiktok, hài ngắn, video hài hước, hài tiktok 2023, tiktok hài, troll, cà khịa cực mạnh, cà khịa funny, triệu view, cà khịa hài hước, tiktok cà khịa",UCiLrRPwHWjfHljbV7r-77Ag,Hai bà dà nè,1800000,1600,2137664,28792,39,0,PT31S,hd,false,True,public,True,True,https://i.ytimg.com/vi/mxpE0IXF-Vo/default.jpg,https://i.ytimg.com/vi/mxpE0IXF-Vo/mqdefault.jpg,https://i.ytimg.com/vi/mxpE0IXF-Vo/hqdefault.jpg,https://en.wikipedia.org/wiki/Entertainment,24,none,vi,vi
F7wfpaovovI,Theng | Người Mẹ Siêu Thám Tử 4 #viral #shorts,"A DAY WITHOUT LAUGHTER IS A DAY WASTED 
""Theng - tên thật là Thắng""
Tạo tiếng cười cho mọi người là NIỀM VUI của Thắng
Mọi người hãy nhấn đăng kí để ủng hộ Thắng và dễ dàng theo dõi clip mới nhất của Thắng!
Các mạng xã hội mà mình sử dụng:
Facebook: https://www.facebook.com/profile.php?id=100018578207222
Tiktok: https://www.tiktok.com/@thengneee
CÁM ƠN TÌNH CẢM MỌI DÀNH CHO MÌNH RẤT NHIỀU!
MÃI YÊU!

© Bản quyền video thuộc về Theng
© Copyright by Theng  ☞ Do not Reup",2025-05-08T11:00:33Z,"Theng, theng, Trần Đức Thắng, Thắng, phim ngắn, phim hài, phim hài ngắn, hài ngắn, phim hài tiktok, phim hài ngắn tiktok, tiktok hài, tiktok hài hước, hài tiktok, hài, hài hước, giải trí, hài ngắn tiktok, phim hài ngắn giải trí, hài ngắn 2023, hài ngắn mới nhất, trần đức thắng, tổng hợp video hài hước, hài hước troll, hài ngắn comedy, trend titok mới nhất, shorts, #shorts, tiktok, #viral, đú trend, trend hot tiktok, viral, ân oán giang hồ",UCQ3lvanwwQ_tE_MgT1SMg2g,Theng,1450000,489,1845302,34914,109,0,PT1M50S,hd,false,True,public,True,True,https://i.ytimg.com/vi/F7wfpaovovI/default.jpg,https://i.ytimg.com/vi/F7wfpaovovI/mqdefault.jpg,https://i.ytimg.com/vi/F7wfpaovovI/hqdefault.jpg,"https://en.wikipedia.org/wiki/Entertainment, https://en.wikipedia.org/wiki/Film",22,none,,vi
ad6aMWJrsZU,Tránh vỏ dưa gặp vỏ dừa kiểu | Lê Long An #shorts,"#shorts 
Xin chào mọi người , tui là Long An Daxua nè nè nè !
Nếu có vấn đề gì về bản quyền mình sẽ giải quyết ngay cho bạn , làm ơn hãy liên hệ đến Gmail : daxuahoingoc@gmail.com ! Trân trọng cảm ơn bạn rất nhiều 
------------
*Giúp mình đạt 5.000.000 subscribe nha 
------------
TIKTOK của tớ : www.tiktok.com/@longandaxua
FACEBOOK cá nhân của tớ : https://www.facebook.com/langtu.anan
---------
- Các tổ chức, cá nhân vui lòng không đăng lại, mọi hành vi đăng lại có thể khiến kênh của bạn bị xóa vĩnh viễn! 
______
-Organizations and individuals please do not post again, any repurposing behavior may result in permanent deletion of your channel!
____
Copyrighted video belongs to Long An Daxua©
Video có bản quyền thuộc Long An Daxua ©
#lelongantiktok
#longandaxua
#daxua 
#bede
#khambua
#daxuakhambua
#layloi
#lelongan 
#tiktokerlelongan 
#tiktok 
#shortsvideo #shorts #shortsfeed #shortsclip #shortsyoutube #shortsviral #shortseries #shortstiktok #shortsfunny #shortscraft #shortscomedy  #shortsvideoviral #shortstoriesforkids",2025-05-02T05:23:45Z,"le long an, lê long an, long an daxua, ông bố bất hạnh, long an, tik tok le long an, reaction le long an, tik tok lê long an, haihuoc, hottiktokerlelongan, lelongan, xemvideolelongan, daxua, layloi, tiktokerlongan, hai, lelongantiktok, cuoi rot nuoc mat, thanh lay, long an daxua tiktok, comedy, clip hài, clip vui, clip hài tiktok, video ngắn, clip ngắn, lê long an tiktok, trend, trend tiktok, tiktok lê long an, le long an tiktok, hot tiktoker, kho khan, cai ket",UCVFvpKjm8he0gJLIfM1lnLA,Long An Daxua,1450000,648,3651248,44634,82,0,PT40S,hd,false,True,public,True,True,https://i.ytimg.com/vi/ad6aMWJrsZU/default.jpg,https://i.ytimg.com/vi/ad6aMWJrsZU/mqdefault.jpg,https://i.ytimg.com/vi/ad6aMWJrsZU/hqdefault.jpg,https://en.wikipedia.org/wiki/Entertainment,24,none,vi,zxx
